date,year,month,day,region,country,category,medicine,age_group,units_sold,unit_price,stock_level,expiry_days_remaining,covid_flag
2022-09-04,2022,9,4,South Asia,Bangladesh,Diabetes,Metformin,65+,202,13.61,608,501,1
2024-04-10,2024,4,10,East Asia,South Korea,Respiratory,Salbutamol,46-65,20,17.14,715,653,0
2022-02-20,2022,2,20,North America,USA,Chronic,Omeprazole,26-45,465,41.39,19,789,1
2025-03-19,2025,3,19,Europe,UK,Respiratory,Salbutamol,26-45,98,16.48,925,778,0
2025-02-26,2025,2,26,South America,Colombia,Chronic,Omeprazole,65+,433,38.6,1411,737,0
2025-09-28,2025,9,28,South America,Argentina,Diabetes,Metformin,46-65,313,13.47,1370,78,0
2025-12-13,2025,12,13,North America,Mexico,Chronic,Omeprazole,0-12,181,42.14,1663,433,0
2025-02-26,2025,2,26,South Asia,India,Diabetes,Metformin,26-45,263,16.59,787,554,0
2020-06-01,2020,6,1,Africa,Nigeria,Respiratory,Salbutamol,0-12,98,21.43,125,628,1
2024-07-29,2024,7,29,Oceania,New Zealand,Vitamin,Vitamin C,0-12,195,11.16,1266,992,0
2020-06-04,2020,6,4,Europe,Italy,Cardiovascular,Atorvastatin,13-25,50000,10000,639,334,1
2023-08-18,2023,8,18,South Asia,India,Cough_Cold,Cough Syrup,0-12,225,13.23,1863,656,0
2025-10-15,2025,10,15,Europe,Italy,Cardiovascular,Amlodipine,0-12,268,22.97,1202,415,0
2022-01-03,2022,1,3,East Asia,South Korea,Antibiotic,Azithromycin,65+,10,33.24,1226,616,1
2024-03-06,2024,3,6,South Asia,Bangladesh,Diabetes,Metformin,13-25,468,15.93,534,708,0
2023-06-02,2023,6,2,Middle East,Saudi Arabia,Antibiotic,Amoxicillin,65+,433,25.34,1349,944,0
2024-04-03,2024,4,3,Middle East,Saudi Arabia,Chronic,Omeprazole,46-65,70,35.08,556,840,0
2021-12-15,2021,12,15,Middle East,UAE,Diabetes,Metformin,65+,444,13.96,1345,374,1
2022-06-29,2022,6,29,South Asia,Bangladesh,Diabetes,Metformin,65+,369,17.41,168,971,1
2021-11-21,2021,11,21,South America,Brazil,Respiratory,Salbutamol,26-45,428,23.77,44,-38,1
2023-01-25,2023,1,25,Middle East,Saudi Arabia,Diabetes,Metformin,46-65,102,14.56,1851,593,0
2020-12-11,2020,12,11,Middle East,UAE,Pain_Relief,Ibuprofen,65+,407,8.79,16,879,1
2024-10-22,2024,10,22,North America,USA,Chronic,Omeprazole,13-25,379,37.98,573,418,0
2020-10-31,2020,10,31,South Asia,India,Chronic,Omeprazole,46-65,451,33.05,1154,488,1
2020-10-04,2020,10,4,Middle East,Saudi Arabia,Diabetes,Metformin,13-25,395,16.27,581,570,1
2023-05-01,2023,5,1,North America,Mexico,Vitamin,Vitamin C,13-25,496,9.14,624,792,0
2020-11-11,2020,11,11,Africa,South Africa,Vitamin,Vitamin C,26-45,271,9.48,745,457,1
2021-05-12,2021,5,12,North America,Canada,Vitamin,Vitamin C,0-12,352,10.93,1000,342,1
2020-05-16,2020,5,16,Middle East,Saudi Arabia,Antibiotic,Azithromycin,46-65,48,33.54,1449,686,1
2023-08-17,2023,8,17,North America,Canada,Cardiovascular,Amlodipine,65+,147,26.36,1296,262,0
2022-04-23,2022,4,23,Europe,France,Antibiotic,Amoxicillin,65+,211,29.39,804,271,1
2022-04-10,2022,4,10,East Asia,China, Chronic ,Omeprazole,65+,461,39.03,13,268,1
2024-02-17,2024,2,17,Oceania,New Zealand,Chronic,Omeprazole,46-65,131,47.27,85,849,0
,2025,6,4,East Asia,China,Diabetes,Metformin,46-65,249,15.84,765,302,0
2020-11-19,2020,11,19,Middle East,UAE,Chronic,Omeprazole,65+,319,33.18,950,684,1
2022-07-10,2022,7,10,Oceania,Australia,Cardiovascular,Atorvastatin,13-25,54,21.51,436,46,1
2023-05-25,2023,5,25,Oceania,New Zealand,Pain_Relief,Paracetamol,0-12,150,9.53,405,393,0
2023-07-23,2023,7,23,South America,Colombia,Chronic,Omeprazole,NULL,114,33.68,634,295,0
2023-07-03,2023,7,3,Middle East,UAE,Vitamin,Vitamin C,13-25,58,11.88,1510,829,0
2025-03-20,2025,3,20,Oceania,New Zealand,Chronic,Omeprazole,65+,298,44.41,1618,985,0
2023-08-18,2023,8,18,Africa,Nigeria,Antibiotic,Amoxicillin,26-45,171,27.28,1313,106,0
2020-06-18,2020,6,18,Europe,Germany,Chronic,Omeprazole,26-45,110,36.06,13,382,1
2022-10-06,2022,10,6,North America,Mexico,Vitamin,Vitamin C,65+,205,10.99,831,549,1
2023-10-22,2023,10,22,Africa,South Africa,Chronic,Omeprazole, 46-65 ,302,43.99,938,823,0
2025-09-29,2025,9,29,Europe,Italy,Diabetes,Metformin,65+,360,12.1,1023,885,0
2023-05-30,2023,5,30,East Asia,China,Vitamin,Vitamin C,46-65,159,10.63,1560,57,0
2024-10-26,2024,10,26,Oceania,New Zealand,Cough_Cold,Cough Syrup,0-12,51,12.42,1740,584,0
2024-07-06,2024,7,6,North America,Mexico,Respiratory,Salbutamol,26-45,495,16.5,31,863,0
2023-07-11,2023,7,11,South America,Colombia,Respiratory,Salbutamol,26-45,259,21.13,827,368,0
2022-06-09,2022,6,9,Oceania,New Zealand,Respiratory,Salbutamol,26-45,404,17.3,28,353,1
2025-06-11,2025,6,11,Middle East,Saudi Arabia,Vitamin,Vitamin C,13-25,356,8.34,1060,202,0
2024-05-28,2024,5,28,North America,USA,Chronic,Omeprazole,0-12,226,46.36,970,468,0
2024-05-11,2024,5,11,Middle East,Saudi Arabia,Vitamin,Vitamin C,26-45,55,11.64,954,264,0
2025-11-09,2025,11,9,Oceania,New Zealand,Chronic,Omeprazole,0-12,406,34.29,637,424,0
2022-10-13,2022,10,13, East Asia ,South Korea,Antibiotic,Azithromycin, 26-45 ,401,26.94,115,504,1
2020-03-21,2020,3,21,North America,Mexico,Cough_Cold,Cough Syrup,0-12,171,10.92,1612,987,1
2024-12-05,2024,12,5,East Asia,Japan,Cardiovascular,Amlodipine,65+,309,20.79,18,746,0
2024-05-21,2024,5,21,Africa,South Africa,Pain_Relief,Ibuprofen,26-45,71,8.07,1916,575,0
2022-09-16,2022,9,16,South Asia,India,Vitamin,Vitamin C,Unknown,277,9.83,670,491,1
2021-01-11,2021,1,11,Middle East,Saudi Arabia,Antibiotic,Azithromycin,26-45,23,35.64,1734,856,1
2025-02-22,2025,2,22,Africa,Nigeria,Vitamin,Vitamin C,13-25,320,10.95,1602,831,0
2021-01-28,2021,1,28,North America,USA,Respiratory,Salbutamol,26-45,25,19.35,1119,440,
2022-02-01,2022,2,1,South Asia,India,Vitamin,Vitamin C,13-25,113,11.0,1516,765,1
2023-08-02,2023,8,2,Europe,Germany,Cough_Cold,Cough Syrup,46-65,217,13.95,627,627,0
2024-02-12,2024,2,12,North America,Canada,Diabetes,Metformin,26-45,52,15.98,632,699,0
2025-09-14,2025,9,14,Oceania,Australia,Vitamin,Vitamin C,13-25,330,9.81,144,301,0
2023-03-05,2023,3,5,Oceania,Australia,Cardiovascular,Amlodipine,0-12,86,26.39,637,651,0
2020-12-15,2020,12,15,North America,UAE,Respiratory,Salbutamol,26-45,72,23.28,666,387,No
2023-12-09,2023,12,9,South America,Argentina,Chronic,Omeprazole,46-65,89,32.83,158,265,0
2023-11-12,2023,11,12,East Asia,Japan,Vitamin,Vitamin C,26-45,59,9.65,1181,223,0
2020-07-14,2020,7,14,Middle East,UAE,Respiratory,Salbutamol,0-12,103,22.9,1834,995,1
2021-10-07,2021,10,7,East Asia,South Korea,Vitamin,Vitamin C,26-45,351,9.9,969,337,1
2023-07-31,2023,7,31,North America,USA,Chronic,Omeprazole,65+,373,40.38,91,629,0
2025-07-27,2025,7,27,South Asia,India,Antibiotic,Azithromycin,26-45,27,28.02,1213,402,0
2024-12-16,2024,12,16,Oceania,New Zealand,Diabetes,Metformin,46-65,239,16.11,1521,159,0
2024-04-15,2024,4,15,Africa,South Africa,Vitamin,Vitamin C,13-25,262,10.12,918,727,0
2021-06-05,2021,6,5,Middle East,UAE,Antibiotic,Amoxicillin,26-45,116,35.7,698,593,1
2022-04-13,2022,4,13,South Asia,Bangladesh,Cardiovascular,Atorvastatin,46-65,127,21.37,1699,965,1
2023-10-11,2023,10,11,Middle East,UAE,Pain_Relief,Ibuprofen,46-65,374,8.64,36,598,0
2022-07-17,2022,7,17,East Asia,China,Chronic,Omeprazole,65+,375,41.4,1434,736,1
2022-10-29,2022,10,29,Africa,Nigeria,Diabetes,Metformin,46-65,484,16.66,848,184,1
2022-12-13,2022,12,13,East Asia,Japan,Cough_Cold,Cough Syrup,26-45,390,14.39,1052,-41,1
2021-08-11,2021,8,11,East Asia,Japan,Vitamin,Vitamin C,0-12,352,8.75,33,99,1
2020-08-03,2020,8,3,Europe, UK ,Cough_Cold,Cough Syrup,65+,248,9.93,1679,895,1
2025-04-12,2025,4,12,Oceania,Australia,Cough_Cold,Cough Syrup,13-25,381,9.61,1279,340,0
2024-04-08,2024,4,8,Middle East,UAE,Cardiovascular,Atorvastatin,26-45,407,29.28,918,401,0
2022-09-05,2022,9,5,East Asia,China,Respiratory,Salbutamol,26-45,121,22.82,1201,594,1
2020-10-08,2020,10,8,North America,USA,Vitamin,Vitamin C,26-45,442,10.58,746,765,1
2023-07-25,2023,7,25,Middle East,UAE,Antibiotic,Azithromycin,26-45,71,24.23,1480,456,0
2023-12-09,2023,12,9,Middle East,UAE,Diabetes,Metformin,65+,108,16.55,92,735,0
2020-02-23,2020,2,23,Africa,South Africa,Respiratory,Salbutamol,0-12,369,18.42,1632,437,1
2020-12-04,2020,12,4,Africa,Nigeria,Cough_Cold,Cough Syrup,13-25,135,11.53,782,994,1
2023-05-12,2023,5,12,Oceania,Australia, Cough_Cold ,Cough Syrup,26-45,110,12.45,971,341,0
2022-11-30,2022,11,30,North America,Mexico,Antibiotic,Amoxicillin,65+,374,26.12,846,743,1
2022-11-12,2022,11,12,South America,Colombia, Chronic ,Omeprazole,65+,157,34.84,696,172,1
2021-01-22,2021,1,22,Europe,Italy,Vitamin,Vitamin C,65+,285,10.25,-290,190,1
2020-07-05,2020,7,5,South Asia,Bangladesh,Respiratory,Salbutamol,0-12,21,23.18,311,45,1
2021-11-13,2021,11,13,South Asia,India,Cough_Cold,Cough Syrup,26-45,461,11.36,1493,972,1
2023-06-02,2023,6,2,Europe,France,Respiratory,Salbutamol,13-25,178,19.42,588,116,0
9999-99-99,2023,3,4,Middle East,UAE,Cough_Cold,Cough Syrup,26-45,347,13.25,256,452,0
2022-03-06,2022,3,6,East Asia,South Korea,Chronic,Omeprazole,65+,457,43.51,46,663,1
2021-11-15,2021,11,15,Middle East,Saudi Arabia,Respiratory,Salbutamol,65+,367,18.17,1193,577,1
2020-12-05,2020,12,5,North America,Mexico,Pain_Relief,Paracetamol,26-45,326,7.28,1182,558,1
2023-02-27,2023,2,27,Europe,Italy,Cardiovascular,Atorvastatin,46-65,500,26.24,1181,887,0
2022-11-27,2022,11,27,Europe,UK,Antibiotic,Amoxicillin,13-25,391,30.89,1532,811,1
2023-06-21,2023,6,21,Europe,France,Cough_Cold,Cough Syrup,0-12,319,10.24,921,723,0
2025-05-12,2025,5,12,Africa,South Africa,Respiratory, Salbutamol ,26-45,460,20.08,774,578,0
2025-11-19,2025,11,19,Oceania,New Zealand,Chronic,Omeprazole,46-65,479,40.35,162,276,0
2021-05-08,2021,5,8,East Asia,South Korea,Diabetes,Metformin,46-65,285,17.87,1070,528,1
2024-07-04,2024,7,4,Europe,France,Antibiotic,Amoxicillin, 65+ ,46,33.41,1905,922,0
2025-09-04,2025,9,4,Oceania,New Zealand,Chronic,Omeprazole,65+,144,36.02,1248,806,0
2024-10-14,2024,10,14,Africa,Nigeria,Diabetes,Metformin,13-25,22,14.81,212,753,0
2021-07-07,2021,7,7,Middle East,UAE,Vitamin,Vitamin C,0-12,462,9.49,24,791,1
2024-04-25,2024,4,25,Europe,UK,Pain_Relief,Ibuprofen,26-45,55,7.42,189,386,0
2023-12-22,2023,12,22,South Asia,India,Respiratory,Salbutamol,0-12,235,18.98,48,742,0
2023-10-17,2023,10,17,East Asia,China,Antibiotic,Azithromycin,26-45,452,30.84,45,886,0
2021-10-03,2021,10,3,Europe,UK,Antibiotic,Azithromycin,46-65,175,32.29,1066,56,1
2025-11-19,2025,11,19,Africa,Nigeria,Vitamin,Vitamin C,65+,374,9.19,33,744,0
2024-01-17,2024,1,17,Oceania,New Zealand,Cardiovascular, Amlodipine ,65+,409,27.15,206,822,0
2024-11-08,2024,11,8,Oceania,New Zealand,Cardiovascular,Amlodipine,65+,166,26.22,377,439,0
2024-06-04,2024,6,4,North America,Canada,Chronic,Omeprazole,46-65,341,35.63,551,931,0
2023-07-26,2023,7,26,East Asia,China,Cough_Cold,Cough Syrup,0-12,49,11.22,1611,441,0
2024-08-20,2024,8,20,Africa,South Africa,Vitamin,Vitamin C,13-25,151,8.75,579,168,0
